FIPS_Code	State_Abbrv	Rate
12053	FL	186
12055	FL	172
12057	FL	186
12059	FL	197
12061	FL	169
12063	FL	197
12065	FL	197
12067	FL	183
12069	FL	184
12071	FL	192
12073	FL	197
12075	FL	183
12077	FL	183
12079	FL	197
12081	FL	198
12083	FL	183
12085	FL	169
12086	FL	178
12087	FL	178
12089	FL	197
12091	FL	183
12093	FL	169
12095	FL	184
12097	FL	184
12099	FL	208
12101	FL	186
12103	FL	186
12105	FL	172
12107	FL	183
12109	FL	197
12111	FL	169
12113	FL	183
12115	FL	198
12117	FL	184
12119	FL	183
12121	FL	197
12123	FL	183
12125	FL	197
12127	FL	184
12129	FL	183
12131	FL	183
12133	FL	183
13001	GA	154
13003	GA	144
13005	GA	154
13007	GA	144
13009	GA	144
13011	GA	172
13013	GA	172
13015	GA	172
13017	GA	144
13019	GA	144
13021	GA	144
13023	GA	144
13025	GA	154
13027	GA	144
13029	GA	154
13031	GA	154
13033	GA	162
13035	GA	144
13037	GA	144
13039	GA	154
13043	GA	154
13045	GA	172
13047	GA	172
13049	GA	154
13051	GA	154
13053	GA	144
13055	GA	172
13057	GA	172
13059	GA	172
13061	GA	144
13063	GA	172
13065	GA	154
13067	GA	172
13069	GA	144
13071	GA	144
13073	GA	162
13075	GA	144
13077	GA	172
13079	GA	144
13081	GA	144
13083	GA	172
13085	GA	172
13087	GA	144
13089	GA	172
13091	GA	144
13093	GA	144
13095	GA	144
13097	GA	172
13099	GA	144
13101	GA	154
13103	GA	154
13105	GA	162
13107	GA	162
13109	GA	154
13111	GA	172
13113	GA	172
13115	GA	172
13117	GA	172
13119	GA	172
13121	GA	172
13123	GA	172
13125	GA	162
13127	GA	154
13129	GA	172
13131	GA	144
13133	GA	172
13135	GA	172
13137	GA	172
13139	GA	172
13141	GA	144
13143	GA	172
13145	GA	144
13147	GA	172
13149	GA	172
13151	GA	172
13153	GA	144
13155	GA	144
13157	GA	172
13159	GA	144
13161	GA	154
13163	GA	162
13165	GA	162
13167	GA	144
13169	GA	144
13171	GA	144
13173	GA	144
13175	GA	144
13177	GA	144
13179	GA	154
13181	GA	162
13183	GA	154
13185	GA	144
13187	GA	172
13189	GA	162
13191	GA	154
13193	GA	144
13195	GA	172
13197	GA	144
13199	GA	144
13201	GA	144
13205	GA	144
13207	GA	144
13209	GA	144
13211	GA	172
13213	GA	172
13215	GA	144
13217	GA	172
13219	GA	172
13221	GA	172
13223	GA	172
13225	GA	144
13227	GA	172
13229	GA	154
13231	GA	144
13233	GA	172
13235	GA	144
13237	GA	144
13239	GA	144
13241	GA	172
13243	GA	144
13245	GA	162
13247	GA	172
13249	GA	144
13251	GA	162
13253	GA	144
13255	GA	172
13257	GA	172
13259	GA	144
13261	GA	144
13263	GA	144
13265	GA	162
13267	GA	154
13269	GA	144
13271	GA	144
13273	GA	144
13275	GA	144
13277	GA	144
13279	GA	154
13281	GA	172
13283	GA	144
13285	GA	144
13287	GA	144
13289	GA	144
13291	GA	172
13293	GA	144
13295	GA	172
13297	GA	172
13299	GA	154
13301	GA	162
13303	GA	162
13305	GA	154
13307	GA	144
13309	GA	144
13311	GA	172
13313	GA	172
13315	GA	144
13317	GA	162
13319	GA	144
13321	GA	144
15001	HI	240
15003	HI	240
15005	HI	240
15007	HI	240
15009	HI	240
16001	ID	173
16003	ID	173
16005	ID	173
16007	ID	173
16009	ID	173
16011	ID	173
16013	ID	173
16015	ID	173
16017	ID	173
16019	ID	173
16021	ID	173
16023	ID	173
16025	ID	173
16027	ID	173
16029	ID	173
16031	ID	173
16033	ID	173
16035	ID	173
16037	ID	173
16039	ID	173
16041	ID	173
16043	ID	173
16045	ID	173
16047	ID	173
16049	ID	173
16051	ID	173
16053	ID	173
16055	ID	173
16057	ID	173
16059	ID	173
16061	ID	173
16063	ID	173
16065	ID	173
16067	ID	173
16069	ID	173
16071	ID	173
16073	ID	173
16075	ID	173
16077	ID	173
16079	ID	173
16081	ID	173
16083	ID	173
16085	ID	173
16087	ID	173
17001	IL	159
17003	IL	159
17005	IL	159
17007	IL	166
17009	IL	159
17011	IL	165
17013	IL	159
17015	IL	166
17017	IL	159
17019	IL	174
17021	IL	159
17023	IL	174
17025	IL	159
17027	IL	159
17029	IL	174
17031	IL	206
17033	IL	174
17035	IL	174
17037	IL	166
17039	IL	174
17041	IL	174
17043	IL	206
17045	IL	174
17047	IL	174
17049	IL	159
17051	IL	159
17053	IL	174
17055	IL	159
17057	IL	165
17059	IL	159
17061	IL	159
17063	IL	206
17065	IL	159
17067	IL	165
17069	IL	159
17071	IL	158
17073	IL	158
17075	IL	174
17077	IL	159
17079	IL	174
17081	IL	159
17083	IL	159
17085	IL	166
17087	IL	159
17089	IL	206
17091	IL	206
17093	IL	206
17095	IL	165
17097	IL	206
17099	IL	165
17101	IL	174
17103	IL	166
17105	IL	174
17107	IL	159
17109	IL	165
17111	IL	166
17113	IL	165
17115	IL	159
17117	IL	159
17119	IL	159
17121	IL	159
17123	IL	165
17125	IL	165
17127	IL	159
17129	IL	159
17131	IL	158
17133	IL	159
17135	IL	159
17137	IL	159
17139	IL	174
17141	IL	166
17143	IL	165
17145	IL	159
17147	IL	174
17149	IL	159
17151	IL	159
17153	IL	159
17155	IL	165
17157	IL	159
17159	IL	174
17161	IL	158
17163	IL	159
